about 关于
after 在……之后
afternoon 下午
again 再（次），又（一次）
and 和
animal 动物
answer 答案，回答
apple 苹果
arm 手臂，胳膊
around 在附近
art 艺术
ask 问
autumn 秋天
baby 婴儿
bag 袋子
ball 球
banana 香蕉
beach 沙滩
bed 床
bedroom 卧室
behind 落后于，晚于
big 大的
bike 自行车
birthday 生日
bite 咬
black 黑色
blue 蓝色
boat 船
body 身体
book 书
bookcase 书架，书柜
box 盒子
boy 男孩
bread 面包
brick 砖
brother 兄弟
bus 公共汽车
but 但是
bye 再见
cage 笼子
cake 蛋糕
can 能
car 汽车
cat 猫
catch 抓住
chair 椅子
chicken 小鸡
child 孩子，儿童
class 班级
clean 干净的，打扫
climate 气候
clock 钟
close 关上
closed 关着的
clothes 衣服
colour 颜色
cook 烹饪
country 国家
cow 母牛
cute 可爱的
dad 爸爸
day 白天
desk 书桌，办公桌
dinner 晚餐
dirty 脏的
doctor 医生
dog 狗
doll 玩偶
door 门
driver 驾驶员
duck 鸭子
ear 耳朵
eat 吃
egg 蛋
eleven 十一
end 结束
English 英语
eraser 橡皮
evening 傍晚
eye 眼睛
face 脸
factory 工厂
film 电影
find 找到
fish 鱼
fly 飞行
food 食物
foot 脚
for 为了
friend 朋友
from 来自，从
fun 有趣
funny 有趣的
game 游戏，比赛
garden 花园
get 拿到，得到
girl 女孩
give 给
glasses 眼镜
go 去
hair 头发
hall 门厅，大厅
hand 手
happy 高兴，幸福
hat 帽子
have 有
head 头
hello 你好
help 帮助
her 她的
hers 她的（所有格）
here 这里
hero 英雄
hide 隐藏
him 他（宾格）
his 他的
hit 打
hold 拿着
home 家
hood 衣服上的帽子
horse 马
hospital 医院
house 房子
hungry 饥饿
ice-cream 冰淇淋
jacket 夹克
juice 果汁
jump 跳
kick 踢
kite 风筝
knee 膝盖
know 知道
learn 学会
leg 腿
lesson 课程
let 让
lie 躺
like 喜欢
likes 爱好
line 线
list 清单
listen 听
lion 狮子
little 小的
long 长的
look 看
make 制造，做
man 男人
many 许多
map 地图
meat 肉
menu 菜单
milk 牛奶
morning 早晨
monkey 猴子
mother 母亲
mouth 嘴
music 音乐
my 我的
name 名字
new 新的
noise 噪音
noodle 面条
no 不
nose 鼻子
not 不（用于否定句）
notebook 笔记本
nothing 没有东西
now 现在
number 数字
old 老的
paint 画，涂油漆；油漆
painting （一幅）画
panda 熊猫
park 公园
part 部分
party 聚会，派对
pen 笔，钢笔
pencil 铅笔
people 人们
person 人
pet 宠物
phone 电话
photo 照片
pink 粉色
plane 飞机
plate 盘子
play 玩，演奏，播放
player 选手
please 请
prince 王子
question 问题
quite 安静的
rabbit 兔子
race 比赛，竞赛
rainbow 彩虹
radio 收音机
read 读
ready 准备好的
red 红色
ride 骑
right 正确的
room 房间
ruler 尺子
run 跑
sad 悲伤的
school 学校
sheep 绵羊
shell （动物的）壳
shirt 衬衫
shoe 鞋子
shoo 发出嘘声赶走
shop 商店
short 短的
sing 唱歌
sister 姐妹
sit 坐
sleep 睡觉
small 小的
snake 蛇
snow 雪
sofa 沙发
some 一些
song 歌
sorry 对不起
spell 拼写
spice 香料
sport 运动
stand 站
star 星星
start 开始
station 车站
steady 稳定的，稳固的
stick 粘贴
sticker 便签纸
stop 停
story 故事
street 街道
subject 主题，题目
sun 太阳
sweet 甜的
swim 游泳
table 桌子
tail 尾巴
talk 说，谈话
tea 茶
teacher 老师
team 团队
throw 扔
tick 标记，记号
tidy 整齐的
tiger 老虎
today 今天
toe 脚趾
together 一起
tollet 厕所，盥洗室
tooth 牙齿
tree 树
trousers 裤子
turn 回合，次
ugly 难看的，丑陋的
us 我们（宾格）
very 很
walk 走
wall 墙
want 想
watch 观看
water 水
weather 天气
weekend 周末
welcome 欢迎
woman 女人
word 词，单词
world 世界
write 写
yellow 黄色的
you 你，你们
young 年轻的
your 你的，你们的
yours 你的，你们的
zoo 动物园
